0----匹配点数:1668, 正确匹配点数1439, 准确率0.86270982027053830----匹配点数:1224, 正确匹配点数1130, 准确率0.923202633857727 
1----匹配点数:1250, 正确匹配点数1105, 准确率0.8840000033378601 
2----匹配点数:177, 正确匹配点数152, 准确率0.8587570786476135 
3----匹配点数:287, 正确匹配点数259, 准确率0.9024389982223511 
4----匹配点数:330, 正确匹配点数240, 准确率0.7272727489471436 
5----匹配点数:1402, 正确匹配点数1214, 准确率0.8659058213233948 
6----匹配点数:1433, 正确匹配点数1269, 准确率0.8855547904968262 
7----匹配点数:1142, 正确匹配点数1021, 准确率0.8940455317497253 
8----匹配点数:1380, 正确匹配点数1307, 准确率0.9471014738082886 
9----匹配点数:630, 正确匹配点数532, 准确率0.8444444537162781 
10----匹配点数:1403, 正确匹配点数1222, 准确率0.8709907531738281 
11----匹配点数:1697, 正确匹配点数1525, 准确率0.8986446857452393 
12----匹配点数:1425, 正确匹配点数1216, 准确率0.8533333539962769 
13----匹配点数:1259, 正确匹配点数1128, 准确率0.8959491848945618 
14----匹配点数:1563, 正确匹配点数1438, 准确率0.9200255870819092 
15----匹配点数:859, 正确匹配点数777, 准确率0.9045401811599731 
16----匹配点数:1029, 正确匹配点数916, 准确率0.8901846408843994 
17----匹配点数:277, 正确匹配点数227, 准确率0.8194946050643921 
18----匹配点数:2174, 正确匹配点数1853, 准确率0.852345883846283 
19----匹配点数:1352, 正确匹配点数1154, 准确率0.8535503149032593 
20----匹配点数:1321, 正确匹配点数1225, 准确率0.9273278117179871 
21----匹配点数:568, 正确匹配点数544, 准确率0.9577465057373047 
22----匹配点数:1147, 正确匹配点数1059, 准确率0.9232780933380127 
23----匹配点数:1259, 正确匹配点数1129, 准确率0.8967434763908386 
24----匹配点数:284, 正确匹配点数229, 准确率0.8063380122184753 
25----匹配点数:1289, 正确匹配点数1147, 准确率0.8898370862007141 
26----匹配点数:254, 正确匹配点数194, 准确率0.7637795209884644 
27----匹配点数:303, 正确匹配点数240, 准确率0.7920792102813721 
28----匹配点数:1254, 正确匹配点数1114, 准确率0.8883572816848755 
29----匹配点数:115, 正确匹配点数105, 准确率0.9130434989929199 
30----匹配点数:372, 正确匹配点数335, 准确率0.9005376100540161 
31----匹配点数:1877, 正确匹配点数1208, 准确率0.6435801982879639 
32----匹配点数:149, 正确匹配点数137, 准确率0.9194630980491638 
33----匹配点数:1139, 正确匹配点数1062, 准确率0.9323968291282654 
34----匹配点数:187, 正确匹配点数170, 准确率0.9090909361839294 
35----匹配点数:538, 正确匹配点数417, 准确率0.7750929594039917 
36----匹配点数:103, 正确匹配点数73, 准确率0.708737850189209 
37----匹配点数:1339, 正确匹配点数1104, 准确率0.8244959115982056 
38----匹配点数:105, 正确匹配点数96, 准确率0.9142857193946838 
39----匹配点数:284, 正确匹配点数251, 准确率0.8838028311729431 
40----匹配点数:416, 正确匹配点数309, 准确率0.7427884340286255 
41----匹配点数:1228, 正确匹配点数1108, 准确率0.9022801518440247 
42----匹配点数:1798, 正确匹配点数1635, 准确率0.9093437194824219 
43----匹配点数:500, 正确匹配点数421, 准确率0.8420000076293945 
44----匹配点数:896, 正确匹配点数804, 准确率0.8973214030265808 
45----匹配点数:1345, 正确匹配点数1126, 准确率0.8371747136116028 
46----匹配点数:113, 正确匹配点数103, 准确率0.9115044474601746 
47----匹配点数:360, 正确匹配点数271, 准确率0.7527777552604675 
48----匹配点数:1001, 正确匹配点数888, 准确率0.8871129155158997 
49----匹配点数:1665, 正确匹配点数1525, 准确率0.9159159064292908 
50----匹配点数:1813, 正确匹配点数1575, 准确率0.8687258958816528 
51----匹配点数:109, 正确匹配点数91, 准确率0.8348624110221863 
52----匹配点数:694, 正确匹配点数522, 准确率0.7521613836288452 
53----匹配点数:1545, 正确匹配点数1354, 准确率0.8763753771781921 
54----匹配点数:1130, 正确匹配点数1001, 准确率0.8858407139778137 
55----匹配点数:2236, 正确匹配点数1941, 准确率0.8680679798126221 
56----匹配点数:503, 正确匹配点数313, 准确率0.622266411781311 
57----匹配点数:1394, 正确匹配点数969, 准确率0.6951219439506531 
58----匹配点数:148, 正确匹配点数100, 准确率0.6756756901741028 
59----匹配点数:244, 正确匹配点数161, 准确率0.6598360538482666 
60----匹配点数:1937, 正确匹配点数1757, 准确率0.9070727825164795 
61----匹配点数:1859, 正确匹配点数1620, 准确率0.8714362382888794 
62----匹配点数:196, 正确匹配点数147, 准确率0.75 
63----匹配点数:1235, 正确匹配点数1011, 准确率0.8186234831809998 
64----匹配点数:959, 正确匹配点数875, 准确率0.9124087691307068 
65----匹配点数:607, 正确匹配点数549, 准确率0.9044480919837952 
66----匹配点数:1301, 正确匹配点数1192, 准确率0.9162182807922363 
67----匹配点数:718, 正确匹配点数651, 准确率0.9066852331161499 
68----匹配点数:1934, 正确匹配点数1776, 准确率0.9183040261268616 
69----匹配点数:345, 正确匹配点数282, 准确率0.8173912763595581 
70----匹配点数:1811, 正确匹配点数1640, 准确率0.9055770039558411 
71----匹配点数:1413, 正确匹配点数1210, 准确率0.8563340306282043 
72----匹配点数:111, 正确匹配点数89, 准确率0.8018018007278442 
73----匹配点数:31, 正确匹配点数15, 准确率0.4838709533214569 
74----匹配点数:220, 正确匹配点数187, 准确率0.8500000238418579 
75----匹配点数:1121, 正确匹配点数917, 准确率0.8180196285247803 
76----匹配点数:1626, 正确匹配点数1410, 准确率0.8671586513519287 
77----匹配点数:778, 正确匹配点数632, 准确率0.8123393058776855 
78----匹配点数:206, 正确匹配点数172, 准确率0.8349514603614807 
79----匹配点数:187, 正确匹配点数161, 准确率0.8609625697135925 
80----匹配点数:1296, 正确匹配点数1152, 准确率0.8888888955116272 
81----匹配点数:842, 正确匹配点数793, 准确率0.9418052434921265 
82----匹配点数:1633, 正确匹配点数1318, 准确率0.8071035146713257 
83----匹配点数:875, 正确匹配点数728, 准确率0.8320000171661377 
84----匹配点数:216, 正确匹配点数194, 准确率0.8981481194496155 
85----匹配点数:1001, 正确匹配点数920, 准确率0.919080913066864 
86----匹配点数:427, 正确匹配点数311, 准确率0.7283372282981873 
87----匹配点数:264, 正确匹配点数247, 准确率0.935606062412262 
88----匹配点数:732, 正确匹配点数662, 准确率0.9043715596199036 
89----匹配点数:487, 正确匹配点数333, 准确率0.6837782263755798 
