0----匹配点数:1017, 正确匹配点数897, 准确率0.8820058703422546 
1----匹配点数:2276, 正确匹配点数1964, 准确率0.862917423248291 
2----匹配点数:1333, 正确匹配点数1218, 准确率0.9137284159660339 
3----匹配点数:2203, 正确匹配点数1916, 准确率0.8697230815887451 
4----匹配点数:797, 正确匹配点数583, 准确率0.7314931154251099 
5----匹配点数:2394, 正确匹配点数2070, 准确率0.8646616339683533 
6----匹配点数:1145, 正确匹配点数1052, 准确率0.9187772870063782 
7----匹配点数:1517, 正确匹配点数1365, 准确率0.8998022675514221 
8----匹配点数:2033, 正确匹配点数1632, 准确率0.8027545213699341 
9----匹配点数:912, 正确匹配点数835, 准确率0.9155701994895935 
10----匹配点数:656, 正确匹配点数530, 准确率0.8079268336296082 
11----匹配点数:1349, 正确匹配点数1168, 准确率0.8658265471458435 
12----匹配点数:805, 正确匹配点数597, 准确率0.7416148781776428 
13----匹配点数:2507, 正确匹配点数2259, 准确率0.9010769724845886 
14----匹配点数:1612, 正确匹配点数1369, 准确率0.8492555618286133 
15----匹配点数:1276, 正确匹配点数1070, 准确率0.83855801820755 
16----匹配点数:1569, 正确匹配点数1354, 准确率0.8629700541496277 
17----匹配点数:1469, 正确匹配点数1318, 准确率0.8972089886665344 
18----匹配点数:1807, 正确匹配点数1479, 准确率0.8184836506843567 
19----匹配点数:1026, 正确匹配点数900, 准确率0.8771929740905762 
20----匹配点数:1777, 正确匹配点数1595, 准确率0.8975802063941956 
21----匹配点数:1915, 正确匹配点数1571, 准确率0.8203655481338501 
22----匹配点数:1752, 正确匹配点数1343, 准确率0.7665525078773499 
23----匹配点数:1693, 正确匹配点数1447, 准确率0.8546957969665527 
24----匹配点数:1740, 正确匹配点数1410, 准确率0.8103448152542114 
25----匹配点数:308, 正确匹配点数213, 准确率0.6915584206581116 
26----匹配点数:1927, 正确匹配点数1698, 准确率0.8811624050140381 
27----匹配点数:847, 正确匹配点数734, 准确率0.8665879368782043 
28----匹配点数:2035, 正确匹配点数1718, 准确率0.844226062297821 
29----匹配点数:1210, 正确匹配点数1015, 准确率0.8388429880142212 
30----匹配点数:1832, 正确匹配点数1637, 准确率0.8935589790344238 
31----匹配点数:1237, 正确匹配点数1011, 准确率0.8172999024391174 
32----匹配点数:2158, 正确匹配点数1900, 准确率0.8804448843002319 
33----匹配点数:1754, 正确匹配点数1554, 准确率0.8859749436378479 
34----匹配点数:1418, 正确匹配点数1237, 准确率0.8723554015159607 
35----匹配点数:1651, 正确匹配点数1414, 准确率0.856450617313385 
36----匹配点数:2006, 正确匹配点数1748, 准确率0.8713858127593994 
37----匹配点数:878, 正确匹配点数708, 准确率0.8063781261444092 
38----匹配点数:1762, 正确匹配点数1535, 准确率0.8711691498756409 
39----匹配点数:2086, 正确匹配点数1751, 准确率0.8394055366516113 
40----匹配点数:996, 正确匹配点数890, 准确率0.8935742974281311 
41----匹配点数:226, 正确匹配点数196, 准确率0.8672566413879395 
42----匹配点数:1527, 正确匹配点数1275, 准确率0.8349705338478088 
43----匹配点数:1628, 正确匹配点数1431, 准确率0.8789926171302795 
44----匹配点数:1751, 正确匹配点数1408, 准确率0.8041119575500488 
45----匹配点数:1919, 正确匹配点数1723, 准确率0.8978634476661682 
46----匹配点数:1297, 正确匹配点数1009, 准确率0.7779490947723389 
47----匹配点数:349, 正确匹配点数222, 准确率0.6361031532287598 
48----匹配点数:1196, 正确匹配点数1072, 准确率0.8963210582733154 
49----匹配点数:2626, 正确匹配点数2063, 准确率0.7856054902076721 
50----匹配点数:1918, 正确匹配点数1704, 准确率0.8884254693984985 
51----匹配点数:460, 正确匹配点数390, 准确率0.8478260636329651 
52----匹配点数:2135, 正确匹配点数1744, 准确率0.8168618083000183 
53----匹配点数:1553, 正确匹配点数1465, 准确率0.9433354735374451 
54----匹配点数:812, 正确匹配点数628, 准确率0.7733989953994751 
55----匹配点数:1945, 正确匹配点数1602, 准确率0.8236503601074219 
56----匹配点数:360, 正确匹配点数237, 准确率0.6583333611488342 
57----匹配点数:675, 正确匹配点数614, 准确率0.9096296429634094 
58----匹配点数:1686, 正确匹配点数1379, 准确率0.817912220954895 
59----匹配点数:1770, 正确匹配点数1422, 准确率0.803389847278595 
60----匹配点数:1183, 正确匹配点数1069, 准确率0.9036348462104797 
61----匹配点数:1638, 正确匹配点数1361, 准确率0.8308913111686707 
62----匹配点数:1953, 正确匹配点数1541, 准确率0.7890424728393555 
63----匹配点数:2093, 正确匹配点数1842, 准确率0.8800764679908752 
64----匹配点数:1858, 正确匹配点数1728, 准确率0.9300323128700256 
65----匹配点数:1254, 正确匹配点数1110, 准确率0.8851674795150757 
66----匹配点数:979, 正确匹配点数892, 准确率0.9111338257789612 
67----匹配点数:1804, 正确匹配点数1574, 准确率0.8725055456161499 
68----匹配点数:1681, 正确匹配点数1462, 准确率0.8697203993797302 
69----匹配点数:852, 正确匹配点数755, 准确率0.8861502408981323 
70----匹配点数:1632, 正确匹配点数1431, 准确率0.876838207244873 
71----匹配点数:1964, 正确匹配点数1711, 准确率0.8711812496185303 
72----匹配点数:1951, 正确匹配点数1855, 准确率0.9507944583892822 
73----匹配点数:1621, 正确匹配点数1266, 准确率0.7809993624687195 
74----匹配点数:2500, 正确匹配点数2062, 准确率0.8248000144958496 
75----匹配点数:953, 正确匹配点数764, 准确率0.8016788959503174 
76----匹配点数:1757, 正确匹配点数1604, 准确率0.9129197597503662 
77----匹配点数:2544, 正确匹配点数2069, 准确率0.8132861852645874 
78----匹配点数:1611, 正确匹配点数1306, 准确率0.8106765747070312 
79----匹配点数:375, 正确匹配点数276, 准确率0.7360000014305115 
80----匹配点数:1537, 正确匹配点数1321, 准确率0.8594664931297302 
81----匹配点数:1588, 正确匹配点数1375, 准确率0.8658690452575684 
82----匹配点数:2392, 正确匹配点数1585, 准确率0.6626254320144653 
83----匹配点数:762, 正确匹配点数590, 准确率0.7742782235145569 
84----匹配点数:950, 正确匹配点数851, 准确率0.8957894444465637 
